,mite_id,substrates,products
344,MITE0000247.reaction1.example1,C=CC(C)(C)c1[nH]c2c3c(ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O)OC(C)(C)C=C3,C=CC(C)(C)[C@@]12Nc3c(ccc4c3C=CC(C)(C)O4)[C@]1(O)C[C@H]1C(=O)N3CCC[C@H]3C(=O)N12
345,MITE0000247.reaction2.example1,C=CC(C)(C)c1[nH]c2c3c(ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O)OC(C)(C)C=C3,C=CC(C)(C)[C@]1(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)C(=O)Nc2c1ccc1c2C=CC(C)(C)O1
346,MITE0000248.reaction1.example1,CC1(C)SC2[C@H](NC(=O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,CC1(C)SC2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
347,MITE0000249.reaction1.example1,CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H](N)C(=O)O)C(=O)O,CC1(C)SC2[C@H](NC(=O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O
348,MITE0000250.reaction1.example1,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCSC)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)[C@@H](C)CC)[C@@H](C)O)C(C)C)C(C)C)[C@@H](C)CC)C(C)C,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCSC)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@H]1Cc2c[nH]c3cc(ccc23)C(C(N)=O)[C@@H](C(=O)N[C@H](C(=O)N[C@H]2Cc3cn(cn3)C(c3ccc(O)cc3)[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)NC(=O)[C@H](CO)NC2=O)C(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC1=O)[C@@H](C)CC)[C@@H](C)O)C(C)C)C(C)C)[C@@H](C)CC)C(C)C
349,MITE0000251.reaction1.example1,CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(N)CCSC)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C(=O)O)C(C)C,CCC(C)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(N)CCSC)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(N)=O)C(=O)NC1Cc2c[nH]c3ccc(cc23)-n2cc(c3ccccc32)CC(C(=O)NC(C(=O)O)C(C)C)NC(=O)C(Cc2ccccc2)NC1=O
350,MITE0000252.reaction1.example1,C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CCC(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc-3cs2)n1)C(N)=O,C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CC(O)C(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc-3cs2)n1)C(N)=O
351,MITE0000253.reaction1.example1,C=C(NC(=O)C(=C)NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CCC(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc-3cs2)n1)C(=O)O,C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CCC(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc-3cs2)n1)C(N)=O
352,MITE0000254.reaction1.example1,C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)C2CSC(=O)c4[nH]c5cccc(c5c4C)COC(=O)CCC(NC(=O)c4csc(n4)C(=CC)NC(=O)C(C(C)O)NC(=O)c4csc-3n4)c3nc(cs3)C(=O)N2)n1)C(=O)O,C=C(NC(=O)C(=C)NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CCC(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc-3cs2)n1)C(=O)O
353,MITE0000255.reaction1.example1,C=C(NC(=O)C(=C)NC(=O)c1csc(C(=C)NC(=O)c2csc(C3CSC(=O)c4[nH]c5cccc(c5c4C)COC(=O)CCC(NC(=O)c4csc(C(=CC)NC(=O)C(NC(=O)c5csc(C(=C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc6ccccc6)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(Cc6c[nH]cn6)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(N)CCSC)C(C)CC)C(C)CC)C(C)C)C(C)C)C(C)C)n5)C(C)O)n4)c4nc(cs4)C(=O)N3)n2)n1)C(=O)O,C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)C2CSC(=O)c4[nH]c5cccc(c5c4C)COC(=O)CCC(NC(=O)c4csc(n4)C(=CC)NC(=O)C(C(C)O)NC(=O)c4csc-3n4)c3nc(cs3)C(=O)N2)n1)C(=O)O
